Weight,Id
0.42081992,吴光胜
0.420629112,洪凌波
0.419266985,葛长老
0.418994129,陆二娘
0.418818817,封坛主
0.418627018,童百熊
0.417467508,蔡德忠
0.416766253,鲁连荣
0.414421079,吴大鹏
0.41386833,姜师叔
0.413594377,王师兄
0.413143241,天鸣方丈
0.412822058,单叔山
0.412219609,乌旺阿普
0.411951303,止清
0.411434751,袁枚
0.410959092,陈歪嘴
0.409909276,杜立德
0.409758439,崔绿华
0.409732732,净清
0.409479636,杜希孟
0.409034942,苏习之
0.40699855,平等宝树王
0.406633463,宗赞王子
0.402259511,姜小铁
0.402245892,赛总管
0.400997253,孟正鸿
0.399744192,田见秀
0.398653266,圆心
0.395509963,李廷豹
0.394932796,忽伦四虎
0.389807508,平旺先
0.387239631,柔儿
0.387044896,韩千叶
0.387006983,马大鸣
0.386452498,庄铮
0.384602911,余婆婆
0.383441523,杨中慧
0.381724634,葛光佩
0.380866177,崔志方
0.380333034,张总管
0.380118635,哑梢公
0.379985888,王掌柜
0.379922293,黄面道人
0.379922293,丑脸汉子
0.379756202,张安官
0.377736474,邵燕
0.377446646,史秉文
0.37742606,岑其斯
0.377419831,曹司朋
0.376994066,静空
0.376747202,哈总管
0.37674606,邝天雄
0.375476297,木岛主
0.373581261,耶律晋
0.373375151,纳斯尔丁
0.372843379,小王将军
0.371016381,夏老拳师
0.370719112,南兰
0.370211277,蓝天和
0.370132927,耶律重元
0.370132927,耶律涅鲁古
0.369891963,吕毅中
0.369732227,云岛主
0.367878116,小棒头
0.367747297,崔瞎子
0.367383352,平威
0.366059475,老李
0.365828318,宋献策
0.364910822,子聪
0.364661728,忽伦三虎
0.363163867,小凤
0.363150931,郑光芝
0.36306162,尤得胜
0.362808308,任通武
0.36211599,富春
0.362032821,崔百胜
0.362032821,曹猛
0.361772085,英颚
0.361129987,郑板桥
0.361129987,沈德潜
0.361056945,王铁匠
0.360196963,照虚
0.359464921,黎夫人
0.359298546,单小山
0.358817564,缘根
0.357290655,黄须人
0.357290655,白脸人
0.357167023,阿胜
0.356202117,神音
0.355951179,胡老三
0.353315236,萨多
0.352737658,杜长老
0.35263617,舒化龙
0.351817282,马公子
0.351659351,水福
0.351659351,鱼贩头子
0.348727948,若克琳
0.346956368,谭青
0.341932422,程青霜
0.341437748,小菊
0.341142414,阿根
0.336681407,刘之余
0.335383735,小玲
0.335383735,小虹
0.334190899,解文豹
0.333516757,孙大善
0.333390125,卜泰
0.332770412,王潭
0.332323709,南仁通
0.331871071,程坛主
0.331347609,容子矩
0.331262385,九死生
0.330371287,葛通
0.327353927,德鄂
0.326996632,程维藩
0.326996632,庄允城
0.32688727,吕葆中
0.326352932,钟兆能
0.325982257,李大元
0.325725564,胖商人
0.325725564,俞朝奉
0.325725564,瘦商人
0.325725564,凤七
0.324304438,图海道
0.321654602,庄夫人
0.320295382,易吉
0.319436224,龚光杰
0.319335837,阿洪
0.319007079,煞神鬼
0.318416055,讨债鬼
0.318353942,桑拉巴
0.317952672,晴画
0.316935159,幽草
0.316696893,张十五
0.315634991,谭迪人
0.31168111,刘敖
0.310281397,泉建男
0.310174328,罗信
0.310174328,贝人龙
0.308323225,刘菁
0.308323225,万大平
0.30817371,姜文
0.30817371,盖运聪
0.30810224,路副将
0.308059319,寿南山
0.30741279,凌霜华
0.307167358,呼巴音
0.306957546,藏边五丑
0.306568859,卫周祚
0.306568859,对喀纳
0.306335644,齐心宝树王
0.306335644,俱明宝树王
0.305524426,吴柏英
0.305524426,周孤桐
0.304832166,唐洋
0.302720285,丛不弃
0.302430271,林永超
0.300405261,青灵子
0.30034626,张飞雄
0.299929057,易堂主
0.299929057,齐堂主
0.297327525,出尘子
0.295894434,昌齐
0.294691456,周隆
0.294624269,乔寨主
0.2939042,孟师叔
0.291907086,唐六爷
0.290565903,海大富
0.284869194,贺老三
0.284200679,瑞芳
0.283313477,米思翰
0.283305525,严妈妈
0.281626501,摩诃巴思
0.280292388,陈孤雁
0.279401757,天狼子
0.278307401,耶律莫哥
0.276732834,曲傻姑
0.275040249,端木元
0.273224173,狄镖头
0.27002353,吴天德
0.267222324,邱山风
0.267078828,胡青羊
0.264522047,洪安通
0.262222769,忽都虎
0.261693182,郝密
0.260285789,朴者和尚
0.258008802,乔福
0.256437308,呼音克
0.256404769,邓炳春
0.256282443,宝象和尚
0.255828398,杨景亭
0.252495378,司徒雷
0.252405001,麻衣汉子
0.252134767,蕊初
0.251812615,刘芹
0.248760935,神照上人
0.24758106,贾老者
0.24701913,穆贵妃
0.245301294,张全祥
0.240047185,黄二毛子
0.238934093,天乙道人
0.237074861,王二叔
0.236576247,玉钟子
0.236432474,温仁厚
0.235994434,钟志灵
0.234437861,祁六三
0.232019238,童大海
0.2317718,秦老五
0.231514423,叶长青
0.229347937,胖妇人
0.22882403,狮鼻子
0.22602414,王老六
0.225633934,凤一鸣
0.225414151,来福儿
